Tree no.,Flesh_Present,Skin_Present,Stone_Present,Flesh_Past,Skin_Past,Stone_Past
T1,0.513,0.236,0.251,0.507,0.221,0.272
T2,0.516,0.238,0.246,0.542,0.257,0.201
T3,0.515,0.231,0.254,0.535,0.222,0.243
T4,0.543,0.218,0.24,0.505,0.273,0.221
T5,0.535,0.219,0.246,0.503,0.244,0.253
T6,0.488,0.248,0.264,0.416,0.276,0.308
T7,0.531,0.219,0.25,0.429,0.253,0.319
T8,0.511,0.229,0.259,0.507,0.249,0.243
T9,0.517,0.221,0.262,0.426,0.233,0.341
T10,0.548,0.212,0.24,0.519,0.278,0.203
T11,0.542,0.226,0.231,0.571,0.21,0.219
T12,0.521,0.232,0.247,0.458,0.286,0.256
T13,0.495,0.244,0.262,0.548,0.238,0.214
T14,0.539,0.212,0.148,0.476,0.231,0.293
T15,0.561,0.203,0.235,0.572,0.222,0.206
T16,0.54,0.206,0.255,0.531,0.217,0.252
T17,0.526,0.216,0.258,0.433,0.203,0.364
T18,0.541,0.219,0.24,0.5,0.265,0.235
T19,0.514,0.235,0.251,0.469,0.295,0.236
T20,0.508,0.228,0.263,0.477,0.232,0.292
U1,0.481,0.265,0.254,0.46,0.22,0.32
U2,0.474,0.258,0.269,0.483,0.25,0.267
U3,0.5,0.25,0.25,0.499,0.267,0.234
U4,0.487,0.257,0.255,0.538,0.212,0.25
U5,0.493,0.256,0.251,0.432,0.324,0.244
U6,0.517,0.23,0.254,0.512,0.224,0.263
U7,0.5,0.247,0.245,0.512,0.244,0.243
U8,0.457,0.277,0.265,0.491,0.259,0.25
U9,0.48,0.258,0.262,0.506,0.22,0.274
U10,0.499,0.249,0.253,0.475,0.245,0.28
U11,0.506,0.236,0.258,0.484,0.241,0.275
U12,0.519,0.225,0.256,0.556,0.222,0.222
U13,0.501,0.249,0.25,0.432,0.253,0.315
U14,0.526,0.234,0.24,0.541,0.216,0.243
U15,0.462,0.272,0.266,0.406,0.269,0.325
U16,0.479,0.277,0.245,0.506,0.219,0.275
U17,0.521,0.245,0.234,0.485,0.24,0.275
U18,0.503,0.239,0.257,0.55,0.197,0.253
U19,0.497,0.246,0.257,0.549,0.189,0.262
U20,0.484,0.258,0.257,0.602,0.19,0.208
