Experiment no.,short fibres,medium fibres,long fibres,binder,Bonding Pressure (kg/cm^2),Permeability (mD)
E1,0.3,0.3,0.3,0.1,5,399
E2,0.1,0.4,0.4,0.1,8,329
E3,0.4,0.1,0.4,0.1,8,346
E4,0.4,0.4,0.1,0.1,8,430
E5,0.5,0.2,0.2,0.1,11,315
E6,0.2,0.5,0.2,0.1,11,325
E7,0.2,0.2,0.5,0.1,11,278
E8,0.28,0.28,0.28,0.16,5,414
E9,0.12,0.36,0.36,0.16,11,263
E10,0.36,0.12,0.36,0.16,11,254
E11,0.36,0.36,0.12,0.16,11,323
E12,0.48,0.18,0.18,0.16,8,395
E13,0.18,0.48,0.18,0.16,8,335
E14,0.18,0.18,0.48,0.16,8,324
E15,0.25,0.25,0.25,0.25,5,352
E16,0.11,0.32,0.32,0.25,8,306
E17,0.32,0.11,0.32,0.25,11,242
E18,0.32,0.32,0.11,0.25,8,388
E19,0.39,0.18,0.18,0.25,11,297
E20,0.18,0.39,0.18,0.25,8,390
E21,0.18,0.18,0.39,0.25,11,246
