Specimen no.,Pinus,Abies,Quercus
A1,0.297,0.583,0.12
A2,0.184,0.484,0.331
A3,0.478,0.436,0.086
A4,0.392,0.542,0.065
A5,0.201,0.506,0.293
A6,0.308,0.527,0.164
A7,0.239,0.603,0.158
A8,0.204,0.586,0.21
A9,0.185,0.581,0.234
A10,0.17,0.521,0.309
B1,0.24,0.363,0.397
B2,0.356,0.449,0.195
B3,0.183,0.444,0.373
B4,0.347,0.504,0.149
B5,0.365,0.458,0.177
B6,0.219,0.484,0.297
B7,0.221,0.448,0.332
B8,0.338,0.475,0.187
B9,0.246,0.446,0.308
B10,0.17,0.434,0.396
C1,0.416,0.44,0.144
C2,0.341,0.479,0.18
C3,0.44,0.416,0.143
C4,0.607,0.366,0.027
C5,0.667,0.299,0.034
C6,0.545,0.362,0.094
C7,0.486,0.408,0.107
C8,0.468,0.451,0.081
C9,0.707,0.253,0.04
C10,0.494,0.396,0.111
