Day no.,Teaching,Consultation,Administration,Research,Other wakeful activities, Sleep
D1,0.162,0.041,0.138,0.123,0.254,0.282
D2,0.2,0.039,0.073,0.076,0.346,0.266
D3,0.201,0.082,0.115,0.146,0.194,0.261
D4,0.134,0.077,0.107,0.146,0.214,0.321
D5,0.224,0.08,0.091,0.162,0.195,0.248
D6,0.144,0.063,0.103,0.123,0.316,0.252
D7,0.125,0.054,0.137,0.102,0.312,0.27
D8,0.127,0.077,0.11,0.101,0.341,0.244
D9,0.139,0.052,0.128,0.111,0.266,0.304
D10,0.108,0.052,0.082,0.075,0.413,0.27
D11,0.187,0.091,0.113,0.116,0.264,0.228
D12,0.184,0.07,0.066,0.151,0.305,0.216
D13,0.155,0.086,0.101,0.119,0.225,0.315
D14,0.181,0.097,0.081,0.164,0.271,0.206
D15,0.224,0.096,0.101,0.142,0.203,0.234
D16,0.198,0.067,0.139,0.154,0.162,0.281
D17,0.214,0.073,0.102,0.13,0.201,0.281
D18,0.132,0.037,0.148,0.099,0.307,0.277
D19,0.167,0.073,0.127,0.122,0.266,0.245
D20,0.166,0.064,0.101,0.145,0.242,0.282
