Parameters,CoDACl Scores,CoDAPCA Scores,CLRPCA Scores,PCA Scores,Naive Scores,CoDACl Val Loss,CoDACl Train Loss
"trial0 nn [[7], [7]] lr 0.001 lam 0 epochs 100 num_features 10 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.4767932489451477, 0.4025423728813559]","[0.5316455696202531, 0.35443037974683544, 0.48945147679324896, 0.4194915254237288]","[0.540084388185654, 0.3628691983122363, 0.47257383966244726, 0.4110169491525424]","[0.5316455696202531, 0.379746835443038, 0.5063291139240507, 0.3940677966101695]","[0.5485232067510548, 0.350210970464135, 0.5021097046413502, 0.4110169491525424]","[array(1.496082, dtype=float32), array(1.378099, dtype=float32)]","[array(1.5996448, dtype=float32), array(1.4487058, dtype=float32)]"
"trial0 nn [[7], [7]] lr 0.001 lam 0 epochs 200 num_features 10 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.4767932489451477, 0.4025423728813559]","[0.5274261603375527, 0.35443037974683544, 0.48945147679324896, 0.4194915254237288]","[0.540084388185654, 0.3628691983122363, 0.47257383966244726, 0.4110169491525424]","[0.5316455696202531, 0.379746835443038, 0.5063291139240507, 0.3940677966101695]","[0.5485232067510548, 0.350210970464135, 0.5021097046413502, 0.4110169491525424]","[array(2.2151377, dtype=float32), array(1.7233357, dtype=float32), array(1.5062163, dtype=float32), array(1.3822603, dtype=float32)]","[array(2.1748636, dtype=float32), array(1.7317473, dtype=float32), array(1.5486907, dtype=float32), array(1.453249, dtype=float32)]"
"trial0 nn [[7], [7]] lr 0.001 lam 0 epochs 300 num_features 10 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.4767932489451477, 0.4025423728813559]","[0.5274261603375527, 0.35443037974683544, 0.48945147679324896, 0.4194915254237288]","[0.540084388185654, 0.3628691983122363, 0.47257383966244726, 0.4110169491525424]","[0.5316455696202531, 0.379746835443038, 0.5063291139240507, 0.3940677966101695]","[0.5485232067510548, 0.350210970464135, 0.5021097046413502, 0.4110169491525424]","[array(2.2175975, dtype=float32), array(1.7533069, dtype=float32), array(1.3995541, dtype=float32), array(1.3264214, dtype=float32), array(1.3208562, dtype=float32), array(1.3185397, dtype=float32)]","[array(2.1254961, dtype=float32), array(1.7638762, dtype=float32), array(1.476288, dtype=float32), array(1.4230063, dtype=float32), array(1.4183047, dtype=float32), array(1.4157236, dtype=float32)]"
"trial0 nn [[7], [7]] lr 0.001 lam 0 epochs 400 num_features 10 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.4767932489451477, 0.4025423728813559]","[0.5316455696202531, 0.35443037974683544, 0.48945147679324896, 0.4194915254237288]","[0.540084388185654, 0.3628691983122363, 0.47257383966244726, 0.4110169491525424]","[0.5316455696202531, 0.379746835443038, 0.5063291139240507, 0.3940677966101695]","[0.5485232067510548, 0.350210970464135, 0.5021097046413502, 0.4110169491525424]","[array(1.7201197, dtype=float32), array(1.4144824, dtype=float32), array(1.3186641, dtype=float32), array(1.3227651, dtype=float32), array(1.3221488, dtype=float32), array(1.3208431, dtype=float32), array(1.3193837, dtype=float32), array(1.3181059, dtype=float32)]","[array(1.7405126, dtype=float32), array(1.4893665, dtype=float32), array(1.4208097, dtype=float32), array(1.4168649, dtype=float32), array(1.4155256, dtype=float32), array(1.414257, dtype=float32), array(1.4131688, dtype=float32), array(1.4122812, dtype=float32)]"
"trial0 nn [[7], [7]] lr 0.001 lam 0 epochs 500 num_features 10 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.4767932489451477, 0.4025423728813559]","[0.5274261603375527, 0.35443037974683544, 0.48945147679324896, 0.4194915254237288]","[0.540084388185654, 0.3628691983122363, 0.47257383966244726, 0.4110169491525424]","[0.5316455696202531, 0.379746835443038, 0.5063291139240507, 0.3940677966101695]","[0.5485232067510548, 0.350210970464135, 0.5021097046413502, 0.4110169491525424]","[array(1.7859461, dtype=float32), array(1.5316814, dtype=float32), array(1.3489064, dtype=float32), array(1.3232386, dtype=float32), array(1.3197212, dtype=float32), array(1.317332, dtype=float32), array(1.3154894, dtype=float32), array(1.3140081, dtype=float32), array(1.3127791, dtype=float32), array(1.3117357, dtype=float32)]","[array(1.8204712, dtype=float32), array(1.5785182, dtype=float32), array(1.4368305, dtype=float32), array(1.4183142, dtype=float32), array(1.415062, dtype=float32), array(1.4128623, dtype=float32), array(1.4111854, dtype=float32), array(1.409821, dtype=float32), array(1.4086626, dtype=float32), array(1.407642, dtype=float32)]"
"trial0 nn [[7], [7]] lr 0.001 lam 0 epochs 1000 num_features 10 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.4767932489451477, 0.4025423728813559]","[0.5274261603375527, 0.35443037974683544, 0.48945147679324896, 0.4194915254237288]","[0.540084388185654, 0.3628691983122363, 0.47257383966244726, 0.4110169491525424]","[0.5316455696202531, 0.379746835443038, 0.5063291139240507, 0.3940677966101695]","[0.5485232067510548, 0.350210970464135, 0.5021097046413502, 0.4110169491525424]","[array(1.8495749, dtype=float32), array(1.550287, dtype=float32), array(1.3718204, dtype=float32), array(1.3286344, dtype=float32), array(1.3218963, dtype=float32), array(1.3189634, dtype=float32), array(1.3169557, dtype=float32), array(1.3154749, dtype=float32), array(1.3143294, dtype=float32), array(1.3134288, dtype=float32), array(1.3127126, dtype=float32), array(1.3121386, dtype=float32), array(1.3116752, dtype=float32), array(1.3113017, dtype=float32), array(1.3110056, dtype=float32), array(1.3107772, dtype=float32), array(1.3106107, dtype=float32), array(1.3105006, dtype=float32), array(1.310444, dtype=float32)]","[array(1.8177263, dtype=float32), array(1.5725753, dtype=float32), array(1.4480649, dtype=float32), array(1.4227513, dtype=float32), array(1.4173903, dtype=float32), array(1.4146096, dtype=float32), array(1.4127009, dtype=float32), array(1.4112585, dtype=float32), array(1.4101083, dtype=float32), array(1.4091636, dtype=float32), array(1.4083687, dtype=float32), array(1.4076923, dtype=float32), array(1.4071141, dtype=float32), array(1.4066249, dtype=float32), array(1.4062177, dtype=float32), array(1.4058912, dtype=float32), array(1.4056456, dtype=float32), array(1.4054784, dtype=float32), array(1.4053869, dtype=float32)]"
"trial0 nn [[7], [7]] lr 0.001 lam 1e-12 epochs 100 num_features 10 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.4767932489451477, 0.4025423728813559]","[0.5274261603375527, 0.350210970464135, 0.48945147679324896, 0.4194915254237288]","[0.540084388185654, 0.3628691983122363, 0.47257383966244726, 0.4110169491525424]","[0.5316455696202531, 0.379746835443038, 0.5063291139240507, 0.3940677966101695]","[0.5485232067510548, 0.350210970464135, 0.5021097046413502, 0.4110169491525424]","[array(1.6912419, dtype=float32), array(1.4770226, dtype=float32)]","[array(1.7651284, dtype=float32), array(1.5400981, dtype=float32)]"
"trial0 nn [[7], [7]] lr 0.001 lam 1e-12 epochs 200 num_features 10 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.4767932489451477, 0.4025423728813559]","[0.5274261603375527, 0.35443037974683544, 0.48945147679324896, 0.4194915254237288]","[0.540084388185654, 0.3628691983122363, 0.47257383966244726, 0.4110169491525424]","[0.5316455696202531, 0.379746835443038, 0.5063291139240507, 0.3940677966101695]","[0.5485232067510548, 0.350210970464135, 0.5021097046413502, 0.4110169491525424]","[array(2.0473943, dtype=float32), array(1.541849, dtype=float32), array(1.4191225, dtype=float32), array(1.3745842, dtype=float32)]","[array(2.0216415, dtype=float32), array(1.6247993, dtype=float32), array(1.5173128, dtype=float32), array(1.4682835, dtype=float32)]"
"trial0 nn [[7], [7]] lr 0.001 lam 1e-12 epochs 300 num_features 10 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.4767932489451477, 0.4025423728813559]","[0.5274261603375527, 0.35443037974683544, 0.48945147679324896, 0.4194915254237288]","[0.540084388185654, 0.3628691983122363, 0.47257383966244726, 0.4110169491525424]","[0.5316455696202531, 0.379746835443038, 0.5063291139240507, 0.3940677966101695]","[0.5485232067510548, 0.350210970464135, 0.5021097046413502, 0.4110169491525424]","[array(1.9087067, dtype=float32), array(1.6147985, dtype=float32), array(1.3585374, dtype=float32), array(1.324666, dtype=float32), array(1.3175347, dtype=float32), array(1.3133624, dtype=float32)]","[array(1.9263117, dtype=float32), array(1.6479216, dtype=float32), array(1.4438626, dtype=float32), array(1.4169497, dtype=float32), array(1.4102796, dtype=float32), array(1.4064653, dtype=float32)]"
"trial0 nn [[7], [7]] lr 0.001 lam 1e-12 epochs 400 num_features 10 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.4767932489451477, 0.4025423728813559]","[0.5358649789029536, 0.35443037974683544, 0.48945147679324896, 0.4194915254237288]","[0.540084388185654, 0.3628691983122363, 0.47257383966244726, 0.4110169491525424]","[0.5316455696202531, 0.379746835443038, 0.5063291139240507, 0.3940677966101695]","[0.5485232067510548, 0.350210970464135, 0.5021097046413502, 0.4110169491525424]","[array(1.8126253, dtype=float32), array(1.6384262, dtype=float32), array(1.4340416, dtype=float32), array(1.3493788, dtype=float32), array(1.3267592, dtype=float32), array(1.3194171, dtype=float32), array(1.3160216, dtype=float32), array(1.3140945, dtype=float32)]","[array(1.8277538, dtype=float32), array(1.6672955, dtype=float32), array(1.5069625, dtype=float32), array(1.4400527, dtype=float32), array(1.4222469, dtype=float32), array(1.416194, dtype=float32), array(1.4131906, dtype=float32), array(1.4113394, dtype=float32)]"
"trial0 nn [[7], [7]] lr 0.001 lam 1e-12 epochs 500 num_features 10 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.4767932489451477, 0.4025423728813559]","[0.5274261603375527, 0.3459915611814346, 0.48945147679324896, 0.4194915254237288]","[0.540084388185654, 0.3628691983122363, 0.47257383966244726, 0.4110169491525424]","[0.5316455696202531, 0.379746835443038, 0.5063291139240507, 0.3940677966101695]","[0.5485232067510548, 0.350210970464135, 0.5021097046413502, 0.4110169491525424]","[array(1.793759, dtype=float32), array(1.5976555, dtype=float32), array(1.3818552, dtype=float32), array(1.3252872, dtype=float32), array(1.3204437, dtype=float32), array(1.318702, dtype=float32), array(1.3179516, dtype=float32), array(1.3174659, dtype=float32), array(1.3170875, dtype=float32), array(1.3167589, dtype=float32)]","[array(1.7840103, dtype=float32), array(1.6165707, dtype=float32), array(1.4537956, dtype=float32), array(1.4182869, dtype=float32), array(1.4157089, dtype=float32), array(1.4148856, dtype=float32), array(1.4144442, dtype=float32), array(1.414087, dtype=float32), array(1.4137684, dtype=float32), array(1.4134759, dtype=float32)]"
"trial0 nn [[7], [7]] lr 0.001 lam 1e-12 epochs 1000 num_features 10 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.4767932489451477, 0.4025423728813559]","[0.5274261603375527, 0.35443037974683544, 0.48945147679324896, 0.4194915254237288]","[0.540084388185654, 0.3628691983122363, 0.47257383966244726, 0.4110169491525424]","[0.5316455696202531, 0.379746835443038, 0.5063291139240507, 0.3940677966101695]","[0.5485232067510548, 0.350210970464135, 0.5021097046413502, 0.4110169491525424]","[array(1.8205372, dtype=float32), array(1.5230579, dtype=float32), array(1.3633859, dtype=float32), array(1.329541, dtype=float32), array(1.3238394, dtype=float32), array(1.3212252, dtype=float32), array(1.3195976, dtype=float32), array(1.318545, dtype=float32), array(1.3178178, dtype=float32), array(1.3172868, dtype=float32), array(1.3168819, dtype=float32), array(1.3165616, dtype=float32), array(1.3163028, dtype=float32), array(1.3160875, dtype=float32)]","[array(1.8161315, dtype=float32), array(1.5708461, dtype=float32), array(1.4521666, dtype=float32), array(1.4236286, dtype=float32), array(1.4189519, dtype=float32), array(1.4167902, dtype=float32), array(1.4155508, dtype=float32), array(1.4148015, dtype=float32), array(1.4143103, dtype=float32), array(1.4139595, dtype=float32), array(1.4136916, dtype=float32), array(1.4134817, dtype=float32), array(1.4133128, dtype=float32), array(1.4131719, dtype=float32)]"
"trial0 nn [[7], [7]] lr 0.001 lam 1e-11 epochs 100 num_features 10 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.4767932489451477, 0.4025423728813559]","[0.5316455696202531, 0.35443037974683544, 0.48945147679324896, 0.4194915254237288]","[0.540084388185654, 0.3628691983122363, 0.47257383966244726, 0.4110169491525424]","[0.5316455696202531, 0.379746835443038, 0.5063291139240507, 0.3940677966101695]","[0.5485232067510548, 0.350210970464135, 0.5021097046413502, 0.4110169491525424]","[array(1.7067995, dtype=float32), array(1.3513194, dtype=float32)]","[array(1.7459855, dtype=float32), array(1.4718306, dtype=float32)]"
"trial0 nn [[7], [7]] lr 0.001 lam 1e-11 epochs 200 num_features 10 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.4767932489451477, 0.4025423728813559]","[0.5316455696202531, 0.350210970464135, 0.48945147679324896, 0.4194915254237288]","[0.540084388185654, 0.3628691983122363, 0.47257383966244726, 0.4110169491525424]","[0.5316455696202531, 0.379746835443038, 0.5063291139240507, 0.3940677966101695]","[0.5485232067510548, 0.350210970464135, 0.5021097046413502, 0.4110169491525424]","[array(1.69813, dtype=float32), array(1.5351346, dtype=float32), array(1.3709434, dtype=float32), array(1.3193531, dtype=float32)]","[array(1.7302512, dtype=float32), array(1.5831579, dtype=float32), array(1.4480838, dtype=float32), array(1.4117782, dtype=float32)]"
"trial0 nn [[7], [7]] lr 0.001 lam 1e-11 epochs 300 num_features 10 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.4767932489451477, 0.4025423728813559]","[0.5274261603375527, 0.35443037974683544, 0.48945147679324896, 0.4194915254237288]","[0.540084388185654, 0.3628691983122363, 0.47257383966244726, 0.4110169491525424]","[0.5316455696202531, 0.379746835443038, 0.5063291139240507, 0.3940677966101695]","[0.5485232067510548, 0.350210970464135, 0.5021097046413502, 0.4110169491525424]","[array(1.6714329, dtype=float32), array(1.4263622, dtype=float32), array(1.3757012, dtype=float32), array(1.3492976, dtype=float32), array(1.3351836, dtype=float32), array(1.3271563, dtype=float32)]","[array(1.7214468, dtype=float32), array(1.5070589, dtype=float32), array(1.4637852, dtype=float32), array(1.4418131, dtype=float32), array(1.4298358, dtype=float32), array(1.4228946, dtype=float32)]"
