"","Row.names","Metadata","Apiary","Bacteria;Proteobacteria;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella apicola","Bacteria;Proteobacteria;Gammaproteobacteria;Orbales;Orbaceae;Frischella;Frischella perrara","Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Snodgrassella;Snodgrassella alvi","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus apis (Firm-5)","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus mellis (Firm-4)","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus melliventris (Firm-5)","Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacteraceae;Alpha_2.1;?;?","Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Bifidobacteriales;Bifidobacteriaceae;?","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bartonellaceae;Bartonella;Bartonella apis","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus helsingborgensis (Firm-5)","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus kunkeei","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;?","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;?;?;?","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus mellifer (Firm-4)","Bacteria;Proteobacteria;?;?;?;?;?","Bacteria;Proteobacteria;Gammaproteobacteria;Orbales;?;?;?","Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Snodgrassella;?","Bacteria;Proteobacteria;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;?","Bacteria;Firmicutes;Bacilli;?;?;?;?","Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacteraceae;Alpha_2.2;?;?","Bacteria;?;?;?;?;?;?","Bacteria;Proteobacteria;Betaproteobacteria;?;?;?;?","Bacteria;Proteobacteria;Gammaproteobacteria;?;?;?;?","Bacteria;Proteobacteria;Alphaproteobacteria;?;?;?;?","Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacteraceae;?;?;?","Bacteria;Bacteroidetes;Bacteroidetes;Bacteroidales;Bacteroidaceae;Apibacter;Apibacter adventoris","Bacteria;Proteobacteria;Gammaproteobacteria;Orbales;Orbaceae;?;?","Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;?;?","Bacteria;Firmicutes;Bacilli;Lactobacillales;?;?;?","Bacteria;Firmicutes;?;?;?;?;?","?;?;?;?;?;?;?","Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;?;?;?","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;?;?;?","Bacteria;Bacteroidetes;Bacteroidetes;Bacteroidales;?;?;?","Bacteria;Actinobacteria;Actinobacteria;?;?;?;?","Bacteria;Bacteroidetes;Bacteroidetes;?;?;?;?","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bartonellaceae;?;?","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;?;?","Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;?;?;?","Bacteria;Proteobacteria;Gammaproteobacteria;Orbales;Orbaceae;Frischella;?","Bacteria;Bacteroidetes;?;?;?;?;?"
"APM01","APM01","FOP","A",35378,21567,10565,12213,4660,3492,7259,101,2,3113,1,3196,0,106,3,12,22,3,1,0,4,2,2,22,0,0,101,1,2,0,13,1,0,1,1,0,2,0,0,0,0
"APM02","APM02","FOP","A",318,52753,18666,3193,22425,113,1621,133,208,65,0,2220,1,0,7,9,66,0,1,0,3,3,5,7,0,0,10,8,3,0,5,0,2,0,1,0,0,0,0,0,0
"APM03","APM03","FOP","A",25,55322,13917,14609,7925,1155,5729,433,0,556,6,1951,2,47,9,11,49,0,1,0,6,8,6,21,1,0,27,3,7,0,12,1,1,2,1,3,0,0,0,0,0
"APM04","APM04","FOP","A",78163,286,731,8463,4,71,12709,0,3,9,0,1277,0,0,2,1,4,2,0,9,3,1,3,32,0,0,46,0,10,2,3,0,1,0,5,1,5,0,0,0,0
"APM05","APM05","FOP","A",9897,58891,9551,5520,3,7,16890,1,2,284,41,91,2,518,5,4,55,2,2,13,1,2,1,44,0,0,3,2,2,0,10,0,2,0,0,0,0,0,0,0,0
"APM06","APM06","FOP","A",28530,31,509,3775,64441,974,1414,2,1,544,3,1500,0,0,10,5,2,0,0,0,0,1,13,6,0,0,77,0,1,0,1,1,0,0,4,1,0,0,0,0,0
"APM07","APM07","FOR","A",15,12,86192,10098,13,61,3941,0,2,27,3,1399,0,0,10,2,9,0,1,0,0,4,6,7,0,0,4,20,2,0,12,2,2,0,1,0,1,0,0,0,0
"APM08","APM08","FOR","A",54886,49,14591,5676,3,224,20942,0,2,23,42,5173,0,1,14,1,95,23,0,6,1,3,1,55,0,0,3,4,2,0,22,1,2,0,0,0,1,0,0,0,0
"APM09","APM09","FOR","A",58314,81,21299,1799,2849,6,1856,8,15266,1,16,17,7,192,12,25,15,2,1,3,6,11,19,9,0,0,4,0,14,1,9,2,2,0,0,0,0,0,0,0,0
"APM10","APM10","FOR","A",89365,81,6448,1766,686,232,2850,132,0,6,4,43,0,0,13,31,9,0,2,1,10,2,28,10,0,0,30,0,22,1,31,4,2,20,5,10,1,0,0,0,1
"APM11","APM11","NUR","A",152,64439,25988,6475,63,60,2667,367,1229,20,15,155,9,4,25,14,67,3,2,0,18,3,4,19,2,4,18,2,3,2,9,0,1,0,3,3,1,0,0,0,0
"APM12","APM12","NUR","A",6074,18472,30409,7723,15487,2116,1023,5518,252,3026,13,11302,9,123,13,20,33,6,8,2,14,3,5,9,101,0,57,2,5,0,6,0,2,0,10,2,1,0,0,0,0
"APM13","APM13","NUR","A",62141,53,2457,5914,15807,4649,6118,176,826,216,6,3140,8,242,12,13,1,1,1,1,6,11,7,23,0,0,2,0,7,0,0,0,2,0,3,3,0,0,0,0,0
"APM14","APM14","NUR","A",57541,7648,155,5816,18521,731,9115,8,1477,166,5,476,0,2,9,13,3,1,1,2,7,5,11,38,0,0,57,0,12,1,3,4,7,0,6,5,0,0,0,0,0
"APM16","APM16","FOP","B",47886,1399,2303,4388,31693,202,7,9568,120,2737,4,877,6,512,11,16,1,0,10,0,13,4,18,6,0,0,33,2,6,1,8,1,7,1,0,5,1,0,0,0,0
"APM17","APM17","FOP","B",19033,62178,9900,1271,3189,783,881,1534,924,636,15,1023,9,134,44,86,9,2,3,6,19,9,19,27,2,1,12,0,29,1,45,0,4,11,2,1,4,0,0,0,0
"APM18","APM18","FOP","B",25017,19818,12006,25299,1874,70,5398,5040,131,3520,1,3245,0,146,20,42,6,1,5,0,22,13,11,6,1,67,12,0,9,2,17,0,5,12,2,23,4,0,0,0,1
