"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12","sample-13","sample-14","sample-15","sample-16","sample-17","sample-18","sample-19","sample-20","sample-21","sample-22","sample-23","sample-24","sample-25","sample-26","sample-27","sample-28","sample-29","sample-30","sample-31","sample-32","sample-33","sample-34","sample-35","sample-36","sample-37","sample-38","sample-39","sample-40","sample-41","sample-42","sample-43","sample-44"
"Actinomycetaceae",1,3,10,5,1,4,11,25,10,20,1,1,6,6,5,10,10,9,15,7,1,6,6,2,1,1,6,4,1,1,1,1,1,4,1,1,2,1,13,11,1,6,1,6
"Aerococcus",7,7,3,1,14,1,14,22,10,1,7,1,13,18,1,3,1,9,21,14,1,1,10,1,12,8,1,1,1,1,1,5,1,7,6,27,11,25,1,1,4,4,5,3
"Aeromonas",1,17,12,19,1,1,8,1,11,12,8,9,13,7,5,1,3,1,35,32,2,6,1,14,3,5,1,1,2,2,2,1,1,1,14,26,1,2,1,1,18,14,6,11
"Akkermansia",225,187,225,180,242,417,358,277,805,335,715,651,224,273,111,142,1244,157,315,572,554,1452,221,138,207,144,2871,2568,213,288,446,412,126,116,143,230,226,251,1475,2415,246,342,709,344
"Alcaligenes faecalis et rel.",1,1,13,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,4,4,1,1,1,11,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Allistipes et rel.",170,108,195,217,278,313,100,124,45,87,190,152,229,349,126,172,458,289,249,366,158,268,346,277,214,197,589,534,273,440,232,231,90,28,183,48,310,98,302,259,67,70,182,183
"Anaerobiospirillum",1,4,1,9,1,1,3,1,1,2,1,21,2,1,1,1,4,1,5,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10
"Anaerofustis",21,31,21,25,21,25,31,33,47,40,29,38,37,49,13,13,105,80,176,192,17,15,25,30,24,25,11,6,16,15,22,27,14,19,36,64,17,25,20,20,46,28,13,14
"Anaerostipes caccae et rel.",361,620,386,313,530,506,491,401,803,905,597,338,678,643,436,314,614,497,688,607,337,284,424,411,528,437,304,700,350,259,648,580,445,502,822,658,339,489,246,286,840,685,356,347
"Anaerotruncus colihominis et rel.",11,55,65,89,43,50,155,153,36,30,92,116,68,59,132,134,146,129,21,37,104,150,45,21,22,20,93,68,52,58,73,83,74,71,24,15,73,95,104,84,95,58,32,65
