Day no.,Teaching,Consultation,Administration,Research,Other wakeful activities,Sleep
D1,0.144,0.091,0.179,0.107,0.263,0.217
D2,0.162,0.079,0.107,0.132,0.265,0.254
D3,0.153,0.101,0.131,0.138,0.209,0.267
D4,0.177,0.087,0.14,0.132,0.155,0.31
D5,0.158,0.11,0.139,0.116,0.258,0.219
D6,0.165,0.079,0.113,0.113,0.275,0.255
D7,0.159,0.084,0.117,0.094,0.225,0.321
D8,0.161,0.105,0.123,0.11,0.267,0.234
D9,0.163,0.126,0.105,0.106,0.227,0.273
D10,0.169,0.102,0.104,0.104,0.235,0.286
D11,0.149,0.113,0.123,0.115,0.256,0.244
D12,0.118,0.1,0.145,0.096,0.192,0.349
D13,0.106,0.112,0.135,0.104,0.205,0.338
D14,0.163,0.142,0.109,0.115,0.26,0.211
D15,0.151,0.122,0.126,0.121,0.235,0.245
D16,0.163,0.101,0.126,0.142,0.232,0.237
D17,0.176,0.084,0.094,0.098,0.213,0.335
D18,0.104,0.093,0.148,0.09,0.269,0.295
D19,0.111,0.111,0.118,0.086,0.216,0.358
D20,0.105,0.09,0.135,0.117,0.168,0.385
