Operator no.,high-quality production,low-quality production,machine setting,machine repair
O1,0.667,0.18,0.053,0.1
O2,0.578,0.18,0.112,0.123
O3,0.56,0.271,0.086,0.076
O4,0.49,0.316,0.091,0.103
O5,0.598,0.119,0.117,0.166
O6,0.617,0.18,0.079,0.124
O7,0.7,0.197,0.046,0.057
O8,0.577,0.266,0.08,0.077
O9,0.591,0.179,0.084,0.145
O10,0.532,0.107,0.119,0.242
O11,0.511,0.303,0.082,0.104
O12,0.625,0.219,0.082,0.074
O13,0.667,0.115,0.107,0.111
O14,0.573,0.208,0.112,0.107
O15,0.585,0.235,0.08,0.092
O16,0.558,0.245,0.1,0.096
O17,0.652,0.214,0.066,0.068
O18,0.619,0.214,0.066,0.068
O19,0.628,0.245,0.067,0.061
O20,0.596,0.228,0.09,0.086
O21,0.546,0.185,0.114,0.155
O22,0.606,0.146,0.079,0.169
O23,0.613,0.257,0.058,0.072
O24,0.68,0.173,0.06,0.088
O25,0.584,0.246,0.072,0.098
O26,0.542,0.122,0.159,0.176
O27,0.545,0.121,0.156,0.178
