Plot no.,thick_dense,thick_sparse,thin_dense,thin_sparse
A1,0.533,0.277,0.072,0.118
A2,0.475,0.228,0.072,0.226
A3,0.517,0.204,0.145,0.139
A4,0.212,0.418,0.17,0.201
A5,0.385,0.279,0.126,0.21
A6,0.297,0.17,0.215,0.318
A7,0.197,0.226,0.303,0.275
A8,0.157,0.223,0.208,0.412
A9,0.273,0.178,0.346,0.203
A10,0.477,0.225,0.198,0.155
A11,0.253,0.326,0.175,0.245
A12,0.3,0.181,0.305,0.214
A13,0.182,0.445,0.133,0.241
A14,0.277,0.158,0.331,0.234
A15,0.624,0.3,0.018,0.059
A16,0.448,0.204,0.181,0.167
A17,0.617,0.304,0.028,0.056
A18,0.364,0.23,0.152,0.254
A19,0.259,0.184,0.238,0.319
A20,0.069,0.251,0.521,0.158
A21,0.196,0.425,0.118,0.261
A22,0.142,0.152,0.373,0.333
A23,0.637,0.171,0.08,0.113
A24,0.279,0.169,0.247,0.31
A25,0.328,0.45,0.063,0.159
A26,0.529,0.19,0.119,0.162
A27,0.464,0.359,0.083,0.094
A28,0.212,0.202,0.273,0.313
A29,0.12,0.235,0.324,0.321
A30,0.444,0.237,0.131,0.193
A31,0.299,0.167,0.318,0.215
A32,0.26,0.327,0.184,0.23
A33,0.432,0.266,0.103,0.199
A34,0.138,0.226,0.3,0.336
A35,0.482,0.295,0.099,0.124
A36,0.308,0.22,0.153,0.319
A37,0.389,0.127,0.276,0.208
A38,0.038,0.152,0.609,0.2
A39,0.345,0.284,0.166,0.205
A40,0.145,0.14,0.348,0.366
A41,0.287,0.193,0.208,0.312
A42,0.113,0.126,0.447,0.314
A43,0.447,0.19,0.132,0.231
A44,0.319,0.252,0.206,0.223
A45,0.489,0.198,0.097,0.216
A46,0.398,0.276,0.119,0.207
A47,0.507,0.191,0.094,0.209
A48,0.281,0.258,0.19,0.271
A49,0.342,0.25,0.109,0.299
A50,0.161,0.564,0.095,0.18
B1,0.387,0.211,0.146,0.256
B2,0.344,0.34,0.187,0.13
B3,0.241,0.296,0.263,0.201
B4,0.26,0.298,0.239,0.203
B5,0.188,0.306,0.322,0.183
B6,0.509,0.3,0.088,0.103
B7,0.443,0.113,0.103,0.342
B8,0.266,0.385,0.226,0.123
B9,0.413,0.283,0.153,0.151
B10,0.294,0.243,0.233,0.23
B11,0.46,0.236,0.146,0.158
B12,0.491,0.157,0.093,0.259
B13,0.359,0.323,0.134,0.183
B14,0.456,0.091,0.085,0.368
B15,0.371,0.054,0.126,0.449
B16,0.456,0.23,0.11,0.204
B17,0.345,0.212,0.235,0.208
B18,0.346,0.175,0.175,0.304
B19,0.256,0.35,0.178,0.216
B20,0.425,0.192,0.15,0.233
B21,0.314,0.202,0.145,0.339
B22,0.257,0.249,0.256,0.238
B23,0.581,0.172,0.076,0.17
B24,0.397,0.13,0.12,0.358
B25,0.553,0.149,0.078,0.22
B26,0.108,0.23,0.441,0.22
B27,0.418,0.232,0.161,0.189
B28,0.537,0.12,0.081,0.261
B29,0.486,0.183,0.075,0.255
B30,0.187,0.375,0.306,0.133
B31,0.412,0.277,0.143,0.168
B32,0.356,0.134,0.14,0.37
B33,0.371,0.208,0.196,0.226
B34,0.435,0.238,0.15,0.176
B35,0.383,0.144,0.137,0.336
B36,0.214,0.274,0.353,0.159
B37,0.357,0.195,0.197,0.252
B38,0.16,0.279,0.368,0.192
B39,0.395,0.227,0.203,0.177
B40,0.292,0.274,0.215,0.219
B41,0.477,0.236,0.132,0.156
B42,0.152,0.372,0.3,0.176
B43,0.167,0.217,0.331,0.286
B44,0.358,0.263,0.203,0.176
B45,0.246,0.35,0.253,0.151
B46,0.486,0.122,0.113,0.279
B47,0.341,0.12,0.155,0.384
B48,0.241,0.23,0.215,0.314
B49,0.373,0.171,0.114,0.343
B50,0.091,0.267,0.492,0.25
