Fortnight,Supervisee,commanding,demanding,expository,faulting
1,1,0.093,0.043,0.773,0.091
1,2,0.081,0.015,0.712,0.077
1,3,0.313,0.092,0.538,0.057
2,1,0.192,0.411,0.282,0.115
2,2,0.052,0.209,0.585,0.154
2,3,0.375,0.364,0.141,0.119
3,1,0.072,0.772,0.073,0.084
3,2,0.17,0.284,0.397,0.148
3,3,0.125,0.262,0.487,0.125
4,1,0.256,0.36,0.221,0.163
4,2,0.183,0.056,0.673,0.088
4,3,0.273,0.147,0.45,0.13
5,1,0.244,0.204,0.387,0.165
5,2,0.268,0.546,0.083,0.103
5,3,0.318,0.29,0.331,0.062
6,1,0.195,0.015,0.712,0.077
6,2,0.609,0.026,0.272,0.094
6,3,0.254,0.027,0.625,0.093
